REPO, SHA, CONFIG_PARAMETER, TEST_NAME, VALUE, TYPE(GOOD|BAD), EXPECTATION(PASS|FAIL)
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.persistence.ResourceToolTest#testCopy,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.query.calcite.extras-props.unquotedCasing, org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.query.calcite.extras-props.conformance, org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.env.zookeeper-max-retries, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.mode, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.env.zookeeper-base-sleep-time, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.env.zookeeper-is-local, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.env.zookeeper-connect-string, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.server.cluster-name, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.env.zookeeper-base-path, org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testExtShareTheBase,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-enabled, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testFileStore,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testFileStore,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-base-ms, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testFileStore,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-max-ms, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testFileStore,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-port, org.apache.kylin.common.util.SSHClientTest#testCmd,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-password, org.apache.kylin.common.util.SSHClientTest#testCmd,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.util.SSHClientTest#testCmd,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-username, org.apache.kylin.common.util.SSHClientTest#testCmd,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.use-remote-cli, org.apache.kylin.common.util.SSHClientTest#testCmd,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-hostname, org.apache.kylin.common.util.SSHClientTest#testCmd,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testHdfsWorkingDir,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.restclient.RestClientTest#basicTests,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.restclient.connection.max-total, org.apache.kylin.common.restclient.RestClientTest#basicTests,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.restclient.connection.default-max-per-route, org.apache.kylin.common.restclient.RestClientTest#basicTests,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.util.EncryptUtilTest#testNullInput,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testBackwardCompatibility,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.test.bcc.new.key, org.apache.kylin.common.KylinConfigTest#testBackwardCompatibility,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.test.bcc.old.key, org.apache.kylin.common.KylinConfigTest#testBackwardCompatibility,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testRollback,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-base-ms, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testRollback,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.resourcestore.reconnect-max-ms, org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testRollback,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.engine.mr.config-override.test2, org.apache.kylin.common.KylinConfigTest#testMRConfigOverride,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testMRConfigOverride,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.engine.mr.config-override.test1, org.apache.kylin.common.KylinConfigTest#testMRConfigOverride,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.engine.mr.config-override.test2, org.apache.kylin.common.KylinConfigTest#testUnexpectedBlackInPro,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testUnexpectedBlackInPro,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.engine.mr.config-override.test1, org.apache.kylin.common.KylinConfigTest#testUnexpectedBlackInPro,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testSetKylinConfigInEnvIfMissingTakingEmptyProperties,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testCreateInstanceFromUriThrowsIllegalStateExceptionOne,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-port, org.apache.kylin.common.util.SSHClientTest#testScp,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-password, org.apache.kylin.common.util.SSHClientTest#testScp,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.util.SSHClientTest#testScp,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-username, org.apache.kylin.common.util.SSHClientTest#testScp,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.use-remote-cli, org.apache.kylin.common.util.SSHClientTest#testScp,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.job.remote-cli-hostname, org.apache.kylin.common.util.SSHClientTest#testScp,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testThreadLocalOverride,  , GOOD
https://github.com/apache/kylin, 63f9ac6bcd0db005f10935d88747d39fc0819ab7, kylin.metadata.url, org.apache.kylin.common.KylinConfigTest#testGetMetadataUrlPrefix,  , GOOD
